Title,Price,Rating,Link,Base_Model
Primebook 2 Max (2025) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/256 GB/Android 15) PBG9915256#4...,20990,4.4,https://www.flipkart.com/primebook-2-max-2025-in-built-ai-mediatek-helio-g99-mt8781-8-gb-256-gb-android-15-pbg9915256-4278c-laptop/p/itmf01b454e9ac40?pid=COMHDGD5CQJVZUH7&lid=LSTCOMHDGD5CQJVZUH73W3DYP&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_1&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=en_tDCWSUpiTYWWZT5fHkfrXAcHvN4qK8Xca4EOZsaj6RE37Gmmtp6fShWFKYRWSSlmN_e5lWJiKhLVrlgA7axuDfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Primebook 2 Max (2025) in
Primebook 2 Pro (2025) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/128 GB/Android 15) PBG9914128#4...,18990,4.4,https://www.flipkart.com/primebook-2-pro-2025-in-built-ai-mediatek-helio-g99-mt8781-8-gb-128-gb-android-15-pbg9914128-4278c-laptop/p/itmdbf8db6a6f79a?pid=COMHDGD5FH6NZPHD&lid=LSTCOMHDGD5FH6NZPHDQWCW0N&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_2&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=en_tDCWSUpiTYWWZT5fHkfrXAcHvN4qK8Xca4EOZsaj6RG75zanoOj4FPd2TOlD32xBRtpPtkRFF1730EY93LnT9_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Primebook 2 Pro (2025) in
Apple MacBook AIR M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7W4HN/A,66990,4.6,https://www.flipkart.com/apple-macbook-air-m2-16-gb-256-gb-ssd-macos-sequoia-mc7w4hn-a/p/itm2ea42dec44bca?pid=COMH64PYZU4ZZR79&lid=LSTCOMH64PYZU4ZZR79AHLYXY&marketplace=FLIPKART&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=b_1_3&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMH64PYZU4ZZR79.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Apple MacBook AIR M2
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,22899,3.8,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-512-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZY2QDJ5Z4&lid=LSTCOMH7NCZY2QDJ5Z4DVC9YB&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_4&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMH7NCZY2QDJ5Z4.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Acer Aspire 3 Intel Celeron Dual Core
Apple MacBook AIR M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7X4HN/A,66990,4.6,https://www.flipkart.com/apple-macbook-air-m2-16-gb-256-gb-ssd-macos-sequoia-mc7x4hn-a/p/itmdc5308fa78421?pid=COMH64PY76CJKBYU&lid=LSTCOMH64PY76CJKBYUOL7TOK&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_5&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMH64PY76CJKBYU.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Apple MacBook AIR M2
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",34990,4.3,https://www.flipkart.com/asus-vivobook-15-2025-office-2024-m365-basic-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-x1504va-nj3700ws-thin-light-laptop/p/itmf31c79724a398?pid=COMHCQ5ECZZV6THK&lid=LSTCOMHCQ5ECZZV6THKTW8YMF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_6&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=en_tDCWSUpiTYWWZT5fHkfrXAcHvN4qK8Xca4EOZsaj6RG1dbYVd6GPMwmhuCBYvkqHmgzLys427L8BmKThf3QY0xhTy0lUJ14SzoMSv_CzLF0%3D&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U"
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,25990,4.2,https://www.flipkart.com/acer-aspire-3-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm7dda0a4d1d62a?pid=COMHY24RJH2YXVPG&lid=LSTCOMHY24RJH2YXVPGTVAAXW&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_7&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMHY24RJH2YXVPG.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Acer Aspire 3 Intel Core i3 12th Gen 1215U
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,15990,3.8,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-128-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZGGGWQC4W&lid=LSTCOMH7NCZGGGWQC4WQSQGVR&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_8&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMH7NCZGGGWQC4W.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Acer Aspire 3 Intel Celeron Dual Core
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,50990,4.4,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_9&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMGZUYDGFJGHZR4.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U
ASUS Expertbook P1 High-performance processor Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Window...,51990,4.3,https://www.flipkart.com/asus-expertbook-p1-high-performance-processor-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-p1503cva-s70611ws-thin-light-laptop/p/itmf788da016f665?pid=COMH8Z2QRZVVN2RZ&lid=LSTCOMH8Z2QRZVVN2RZ9WYQBV&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_10&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMH8Z2QRZVVN2RZ.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,ASUS Expertbook P1 High
DELL 15 Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) Vostro 3530 RPL Laptop,48990,4.3,https://www.flipkart.com/dell-15-intel-core-i5-13th-gen-16-gb-512-gb-ssd-windows-11-home-vostro-3530-rpl-laptop/p/itm131ebb1b7cdce?pid=COMHBG6HU7GJGR8G&lid=LSTCOMHBG6HU7GJGR8GHOAPFG&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_11&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=en_tDCWSUpiTYWWZT5fHkfrXAcHvN4qK8Xca4EOZsaj6RGTbQrgsy0YsiZEbURZycSrmieZpnGtU5-M7UoEpSH_fevN4Mn-dv-pi277bRzMbnY%3D&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,DELL 15 Intel Core i5 13th Gen
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,30990,4.3,https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj130ws-e1504fa-bq2322ws-thin-light-laptop/p/itm9af4f3b5de2ff?pid=COMH94992SQ8HYGZ&lid=LSTCOMH94992SQ8HYGZUDRTZU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_12&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=en_tDCWSUpiTYWWZT5fHkfrXAcHvN4qK8Xca4EOZsaj6REBggGcPC2TOBPFkkjDTRfO3sZgBDSt4AapMly4xckBRGaRs4JL222ZRV-dN99QnxU%3D&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60938WS...,38990,4.3,https://www.flipkart.com/asus-expertbook-p1-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-p1403cva-s60938ws-thin-light-laptop/p/itm0af4b81838b5b?pid=COMH8Z2QAWCCUCSP&lid=LSTCOMH8Z2QAWCCUCSPPZPFKG&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_13&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMH8Z2QAWCCUCSP.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,ASUS Expertbook P1 Intel Core i3 13th Gen 1315U
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,9999,3.9,https://www.flipkart.com/lenovo-100e-chromebook-gen-4-mediatek-kompanio-520-4-gb-32-gb-emmc-storage-chrome-os-82w00004ha/p/itm1ae5f82096ad9?pid=COMHA9FK8YXVUUWA&lid=LSTCOMHA9FK8YXVUUWAR749MF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_14&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMHA9FK8YXVUUWA.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520
Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,35990,4.4,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-np750xgj-lg9in-thin-light-laptop/p/itmc29d559898e6f?pid=COMH4Y6KKRC9YSWE&lid=LSTCOMH4Y6KKRC9YSWERDUMZD&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_15&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMH4Y6KKRC9YSWE.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U
DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,38990,4.2,https://www.flipkart.com/dell-15-amd-ryzen-5-hexa-core-7530u-16-gb-512-gb-ssd-windows-11-home-3535-thin-light-laptop/p/itm672bf7685863c?pid=COMH8EPFGAZ5HFM3&lid=LSTCOMH8EPFGAZ5HFM3LJSGGR&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_16&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMH8EPFGAZ5HFM3.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,DELL 15 AMD Ryzen 5 Hexa Core 7530U
DELL 15 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) OVN353025001RING1O Thin and ...,36990,4.2,https://www.flipkart.com/dell-15-intel-core-i3-13th-gen-1305u-16-gb-512-gb-ssd-windows-11-home-ovn353025001ring1o-thin-light-laptop/p/itmb007cf7efac41?pid=COMHD99W94EPN2H2&lid=LSTCOMHD99W94EPN2H2YGXX3B&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_17&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=en_tDCWSUpiTYWWZT5fHkfrXAcHvN4qK8Xca4EOZsaj6RFCTBvbgHENQQ2z9-uwCa7H7kkEXTP6I5ZoWDqWbtnuS68iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,DELL 15 Intel Core i3 13th Gen 1305U
Primebook 2 Neo (2025) in-Built AI MediaTek Helio G99 (MT8781) - (6 GB/128 GB/Android 15) PBG9911128#B...,14990,4.4,https://www.flipkart.com/primebook-2-neo-2025-in-built-ai-mediatek-helio-g99-mt8781-6-gb-128-gb-android-15-pbg9911128-b7b7b7-thin-light-laptop/p/itmbf605949ab673?pid=COMHDGD5AJEV875Y&lid=LSTCOMHDGD5AJEV875YWLXT0H&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_18&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=en_tDCWSUpiTYWWZT5fHkfrXAcHvN4qK8Xca4EOZsaj6RF7II9jbrHlbyr92sz5-Li_39EGOvgw8T6awZ5sqM_UcfKSJvID5C-RdFfAlzwDiqI%3D&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Primebook 2 Neo (2025) in
Lenovo Chromebook Duet 11M889 MediaTek MediaTek Kompanio 838 - (8 GB/128 GB EMMC Storage/Chrome OS) Ch...,18990,4.2,https://www.flipkart.com/lenovo-chromebook-duet-11m889-mediatek-kompanio-838-8-gb-128-gb-emmc-storage-chrome-os/p/itm72d2780c3a298?pid=COMHBCAFZGVNEDTK&lid=LSTCOMHBCAFZGVNEDTKUGILYO&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_19&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMHBCAFZGVNEDTK.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Lenovo Chromebook Duet 11M889 MediaTek MediaTek Kompanio 838
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,20499,3.8,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-256-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZ8BARKXFF&lid=LSTCOMH7NCZ8BARKXFFUI0TDB&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_20&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMH7NCZ8BARKXFF.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Acer Aspire 3 Intel Celeron Dual Core
"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",49990,4.3,https://www.flipkart.com/asus-vivobook-15-2025-i5-14th-gen-mso-2024-m365-basic-backlit-keyboard-intel-core-5-120u-16-gb-512-gb-ssd-windows-11-home-x1504vap-nj2862ws-thin-light-laptop/p/itm509f174cc1a04?pid=COMHDG7CFDWVKYMZ&lid=LSTCOMHDG7CFDWVKYMZSDYMWT&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_21&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=en_tDCWSUpiTYWWZT5fHkfrXAcHvN4qK8Xca4EOZsaj6RFSar6UY20jhxiU5zyIiAI4gucKAGwzWv5BCpJ2X91iU8srgPW5YLzJU0_H6_RHKR0%3D&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U..."
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 83ER00KSIN Th...,45750,4.2,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-83er00ksin-thin-light-laptop/p/itm88613b4717866?pid=COMHCYGTDF5GYHFX&lid=LSTCOMHCYGTDF5GYHFXGCWAY7&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_22&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=en_tDCWSUpiTYWWZT5fHkfrXAcHvN4qK8Xca4EOZsaj6RHhtTOVbinq9zz0N_BCQkSM4M3X_MgwmudgXQf7njY4X8DbPjpExlWhmpgUQnOg2ao%3D&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,54990,4.3,https://www.flipkart.com/acer-aspire-7-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-a715-79g-gaming-laptop/p/itm8208102c97f99?pid=COMH3G96MYGWSGTF&lid=LSTCOMH3G96MYGWSGTFGZ7TLO&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_23&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMH3G96MYGWSGTF.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,Acer Aspire 7 Intel Core i5 13th Gen 13420H
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...",39990,4.3,https://www.flipkart.com/asus-vivobook-15-2025-office-2024-m365-basic-backlit-keyboard-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-x1504va-nj2324ws-thin-light-laptop/p/itmf40dd3e4553f6?pid=COMH9SJ95TXH5PYE&lid=LSTCOMH9SJ95TXH5PYEG6PLFV&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_24&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&fm=organic&iid=53aaeb94-3407-4a90-9ecd-5600a88cc19c.COMH9SJ95TXH5PYE.SEARCH&ppt=None&ppn=None&ssid=r8evhbaoj40000001763351673103,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U..."
